"drug_name","Total_Score","Total_Importance","Matched_Targets","Average_StandardValue","Matched_Gene_Names","Matched_Target_Details"
"PONATINIB",187.252941686384,6.99203325702578,5,13438.7,"ADRA2C; NR3C1; PGR; RET","Gene: ADRA2C, Target: P18825, Standard Value: 17000, logFC: 1.84298122760888, Effect Type: suppress; Gene: NR3C1, Target: P04150, Standard Value: 21000, logFC: -2.11138293138662, Effect Type: promote; Gene: PGR, Target: P06401, Standard Value: 29000.1, logFC: -4.54195785233846, Effect Type: promote; Gene: RET, Target: P07949, Standard Value: 13, logFC: 3.97389650269221, Effect Type: suppress; Gene: RET, Target: P07949, Standard Value: 180.4, logFC: 3.97389650269221, Effect Type: suppress"
"PREDNISONE",86.6575228326226,2.210234038054,1,29,"NR3C1","Gene: NR3C1, Target: P04150, Standard Value: 29, logFC: -2.11138293138662, Effect Type: promote"
"PROCARBAZINE",42.3880123771043,2.40414343519169,1,1500,"PTGS2","Gene: PTGS2, Target: P35354, Standard Value: 1500, logFC: 6.82854706638038, Effect Type: suppress"
"QUINESTROL",67.9509299051555,2.22406994572654,1,221,"PGR","Gene: PGR, Target: P06401, Standard Value: 221, logFC: -4.54195785233846, Effect Type: promote"
"QUIZARTINIB",292.261080108575,1.27384052272138,1,3,"RET","Gene: RET, Target: P07949, Standard Value: 3, logFC: 3.97389650269221, Effect Type: suppress"
"RADOTINIB",3.75122192508369,0.749613668705421,1,26016.6,"PTGS1","Gene: PTGS1, Target: P23219, Standard Value: 26016.6, logFC: 8.07161671437733, Effect Type: suppress"
"RALOXIFENE HYDROCHLORIDE",-2775.76368341373,14.4924795526866,2,0.545,"ESR1","Gene: ESR1, Target: P03372, Standard Value: 0.72, logFC: -1.3571743946305, Effect Type: suppress; Gene: ESR1, Target: P03372, Standard Value: 0.37, logFC: -1.3571743946305, Effect Type: suppress"
"REGORAFENIB",0.993329461401039,2.95984770675942,2,17255.1,"NR3C1; PTGS1","Gene: NR3C1, Target: P04150, Standard Value: 17000, logFC: -2.11138293138662, Effect Type: suppress; Gene: PTGS1, Target: P23219, Standard Value: 17510.2, logFC: 8.07161671437733, Effect Type: suppress"
"RIBOCICLIB",307.881077860768,11.4437016297778,4,17.625,"CCND1; CCND3","Gene: CCND1, Target: P24385, Standard Value: 10, logFC: 1.00941201185406, Effect Type: suppress; Gene: CCND1, Target: P24385, Standard Value: 19.5, logFC: 1.00941201185406, Effect Type: suppress; Gene: CCND3, Target: P30281, Standard Value: 28, logFC: 1.07625704228391, Effect Type: suppress; Gene: CCND3, Target: P30281, Standard Value: 13, logFC: 1.07625704228391, Effect Type: suppress"
"ROQUINIMEX",-5.93187230621115,2.22406994572654,1,29000.1,"PGR","Gene: PGR, Target: P06401, Standard Value: 29000.1, logFC: -4.54195785233846, Effect Type: suppress"
"RUCAPARIB",20.4941520074312,4.91888041050523,3,24099.8333333333,"ADRB1; PGR; PTGS2","Gene: ADRB1, Target: P08588, Standard Value: 40099.6, logFC: -2.31172013702627, Effect Type: suppress; Gene: PGR, Target: P06401, Standard Value: 15599.8, logFC: -4.54195785233846, Effect Type: promote; Gene: PTGS2, Target: P35354, Standard Value: 16600.1, logFC: 6.82854706638038, Effect Type: suppress"
"SELINEXOR",256.349566958226,10.3999968802404,3,8330.4,"ESR1; PTGS1; PTGS2","Gene: ESR1, Target: P03372, Standard Value: 24700.2, logFC: -1.3571743946305, Effect Type: promote; Gene: PTGS1, Target: P23219, Standard Value: 230, logFC: 8.07161671437733, Effect Type: suppress; Gene: PTGS2, Target: P35354, Standard Value: 61, logFC: 6.82854706638038, Effect Type: suppress"
"SELPERCATINIB",454.590933483498,1.27384052272138,1,1.24,"RET","Gene: RET, Target: P07949, Standard Value: 1.24, logFC: 3.97389650269221, Effect Type: suppress"
"SIROLIMUS",3.96723175462627,0.749613668705421,1,23260.6,"PTGS1","Gene: PTGS1, Target: P23219, Standard Value: 23260.6, logFC: 8.07161671437733, Effect Type: suppress"
"SONIDEGIB",47.0712646099139,0.772756137791698,1,6,"SMO","Gene: SMO, Target: Q99835, Standard Value: 6, logFC: 1.49206941495555, Effect Type: suppress"
"SORAFENIB",229.6569172296,6.63862970289197,5,6587.566,"ADRB1; DDR2; EPHA2; PTGS2; RET","Gene: ADRB1, Target: P08588, Standard Value: 28000.1, logFC: -2.31172013702627, Effect Type: suppress; Gene: DDR2, Target: Q16832, Standard Value: 36, logFC: -2.39380447626185, Effect Type: suppress; Gene: EPHA2, Target: P29317, Standard Value: 794.33, logFC: 3.08041400703021, Effect Type: suppress; Gene: PTGS2, Target: P35354, Standard Value: 4100, logFC: 6.82854706638038, Effect Type: suppress; Gene: RET, Target: P07949, Standard Value: 7.4, logFC: 3.97389650269221, Effect Type: suppress"
"SOTORASIB",93.6034178397603,4.98861101371195,1,30,"KRAS","Gene: KRAS, Target: P01116, Standard Value: 30, logFC: 1.02771499460468, Effect Type: suppress"
"SUNITINIB",234.694910848712,5.95429902581584,7,9671.71428571429,"ADRA2A; ADRA2C; ADRB1; CACNA1D; GRK5; PGR; RET","Gene: ADRA2A, Target: P08913, Standard Value: 23999.9, logFC: -1.2933914383685, Effect Type: suppress; Gene: ADRA2C, Target: P18825, Standard Value: 1766.3, logFC: 1.84298122760888, Effect Type: suppress; Gene: ADRB1, Target: P08588, Standard Value: 6000, logFC: -2.31172013702627, Effect Type: suppress; Gene: CACNA1D, Target: Q01668, Standard Value: 33400, logFC: -1.76845796417304, Effect Type: suppress; Gene: GRK5, Target: P34947, Standard Value: 830, logFC: 3.53321581438168, Effect Type: suppress; Gene: PGR, Target: P06401, Standard Value: 1700, logFC: -4.54195785233846, Effect Type: promote; Gene: RET, Target: P07949, Standard Value: 5.8, logFC: 3.97389650269221, Effect Type: suppress"
"TAMOXIFEN",-160.991714188226,28.3499380784739,11,2418.60090909091,"ADRB1; EBP; ESR1; FYN; PGR; PRKCA; PRKCE; PRKCG; PTGS1","Gene: ADRB1, Target: P08588, Standard Value: 17572.6, logFC: -2.31172013702627, Effect Type: suppress; Gene: EBP, Target: Q15125, Standard Value: 5, logFC: 1.55446692956063, Effect Type: suppress; Gene: EBP, Target: Q15125, Standard Value: 1, logFC: 1.55446692956063, Effect Type: suppress; Gene: ESR1, Target: P03372, Standard Value: 31.19, logFC: -1.3571743946305, Effect Type: suppress; Gene: ESR1, Target: P03372, Standard Value: 280, logFC: -1.3571743946305, Effect Type: suppress; Gene: FYN, Target: P06241, Standard Value: 1195, logFC: 1.68170214430336, Effect Type: suppress; Gene: PGR, Target: P06401, Standard Value: 128.82, logFC: -4.54195785233846, Effect Type: suppress; Gene: PRKCA, Target: P17252, Standard Value: 1000, logFC: 3.84200010615956, Effect Type: suppress; Gene: PRKCE, Target: Q02156, Standard Value: 1000, logFC: -2.27917890613864, Effect Type: suppress; Gene: PRKCG, Target: P05129, Standard Value: 1000, logFC: 3.16253670040984, Effect Type: suppress; Gene: PTGS1, Target: P23219, Standard Value: 4391, logFC: 8.07161671437733, Effect Type: suppress"
"TEGAFUR",15.3010333066639,7.24623977634331,1,4131,"ESR1","Gene: ESR1, Target: P03372, Standard Value: 4131, logFC: -1.3571743946305, Effect Type: promote"
"TELOTRISTAT ETHYL",0.0124853301398396,0.010048227802479,1,21999.9,"ADRA2C","Gene: ADRA2C, Target: P18825, Standard Value: 21999.9, logFC: 1.84298122760888, Effect Type: suppress"
"TERIFLUNOMIDE",5.11514472013301,0.924902329278755,1,388,"DHFR","Gene: DHFR, Target: P00374, Standard Value: 388, logFC: 1.08937628092003, Effect Type: suppress"
"THIOGUANINE",24.6808886118973,0.749613668705421,1,601,"PTGS1","Gene: PTGS1, Target: P23219, Standard Value: 601, logFC: 8.07161671437733, Effect Type: suppress"
"THIOTEPA",-0.215993051702981,0.233182888319282,2,9200.05,"ADRA2A; ADRA2C","Gene: ADRA2A, Target: P08913, Standard Value: 14000.1, logFC: -1.2933914383685, Effect Type: suppress; Gene: ADRA2C, Target: P18825, Standard Value: 4400, logFC: 1.84298122760888, Effect Type: suppress"
"TIRBANIBULIN",0.697029109485299,0.973588064522346,3,1110,"TUBB1; TUBB4A; TUBB6","Gene: TUBB1, Target: Q9H4B7, Standard Value: 1110, logFC: -4.08429978421464, Effect Type: suppress; Gene: TUBB4A, Target: P04350, Standard Value: 1110, logFC: 3.37366545889295, Effect Type: suppress; Gene: TUBB6, Target: Q9BUF5, Standard Value: 1110, logFC: 1.14600392020266, Effect Type: suppress"
"TOZASERTIB",115.052711970891,16.255103127412,7,821.302857142857,"DDR2; EPHA2; FGFR1; FYN; IGF1R; LRRK2; RET","Gene: DDR2, Target: Q16832, Standard Value: 18, logFC: -2.39380447626185, Effect Type: suppress; Gene: EPHA2, Target: P29317, Standard Value: 630.96, logFC: 3.08041400703021, Effect Type: suppress; Gene: FGFR1, Target: P11362, Standard Value: 794.33, logFC: 3.09574698142338, Effect Type: suppress; Gene: FYN, Target: P06241, Standard Value: 3162.28, logFC: 1.68170214430336, Effect Type: suppress; Gene: IGF1R, Target: P08069, Standard Value: 500, logFC: -6.10216275084247, Effect Type: suppress; Gene: LRRK2, Target: Q5S007, Standard Value: 630.96, logFC: 2.74830150418066, Effect Type: suppress; Gene: RET, Target: P07949, Standard Value: 12.59, logFC: 3.97389650269221, Effect Type: suppress"
"TRETINOIN",8.17452438380923,1.22680066376399,2,12919.15,"PTGS1; RORC","Gene: PTGS1, Target: P23219, Standard Value: 7838.3, logFC: 8.07161671437733, Effect Type: suppress; Gene: RORC, Target: P51449, Standard Value: 18000, logFC: -3.7684314108052, Effect Type: promote"
"TRILACICLIB",574.261487699495,5.72185081488888,2,2.4,"CCND1; CCND3","Gene: CCND1, Target: P24385, Standard Value: 0.8, logFC: 1.00941201185406, Effect Type: suppress; Gene: CCND3, Target: P30281, Standard Value: 4, logFC: 1.07625704228391, Effect Type: suppress"
"TRIPTORELIN",3.78457924443007,0.749613668705421,1,25560,"PTGS1","Gene: PTGS1, Target: P23219, Standard Value: 25560, logFC: 8.07161671437733, Effect Type: suppress"
"ULIPRISTAL ACETATE",-2248.59033187315,9.47030972206985,2,4645.15,"ESR1; PGR","Gene: ESR1, Target: P03372, Standard Value: 9290.1, logFC: -1.3571743946305, Effect Type: promote; Gene: PGR, Target: P06401, Standard Value: 0.2, logFC: -4.54195785233846, Effect Type: suppress"
"VANDETANIB",193.647178255776,11.0549321053012,7,1142.43285714286,"ADRA2A; ADRA2C; FGFR1; FYN; LRRK2; RET","Gene: ADRA2A, Target: P08913, Standard Value: 2100, logFC: -1.2933914383685, Effect Type: suppress; Gene: ADRA2C, Target: P18825, Standard Value: 855.6, logFC: 1.84298122760888, Effect Type: suppress; Gene: FGFR1, Target: P11362, Standard Value: 1995.26, logFC: 3.09574698142338, Effect Type: suppress; Gene: FYN, Target: P06241, Standard Value: 630.96, logFC: 1.68170214430336, Effect Type: suppress; Gene: LRRK2, Target: Q5S007, Standard Value: 1995.26, logFC: 2.74830150418066, Effect Type: suppress; Gene: RET, Target: P07949, Standard Value: 19.95, logFC: 3.97389650269221, Effect Type: suppress; Gene: RET, Target: P07949, Standard Value: 400, logFC: 3.97389650269221, Effect Type: suppress"
"VEMURAFENIB",10.8592249837241,7.3886679291007,3,16700.0333333333,"ASPH; KRAS; PGR","Gene: ASPH, Target: Q12797, Standard Value: 10500, logFC: 1.27629103799675, Effect Type: suppress; Gene: KRAS, Target: P01116, Standard Value: 16600, logFC: 1.02771499460468, Effect Type: suppress; Gene: PGR, Target: P06401, Standard Value: 23000.1, logFC: -4.54195785233846, Effect Type: promote"
"VENETOCLAX",-5559.11288263242,5.46064718147188,3,6096.67266666667,"ADRA2C; ASPH; BCL2","Gene: ADRA2C, Target: P18825, Standard Value: 17000, logFC: 1.84298122760888, Effect Type: suppress; Gene: ASPH, Target: Q12797, Standard Value: 1290, logFC: 1.27629103799675, Effect Type: suppress; Gene: BCL2, Target: P10415, Standard Value: 0.018, logFC: -1.41416860178029, Effect Type: suppress"
