,Parental_T47D_cells_treated_with_vehicle_rep_1,Parental_T47D_cells_treated_with_vehicle_rep_2,Parental_T47D_cells_treated_with_vehicle_rep_3,4_hydroxytamoxifen_resistant_T47D_cells_treated_with_vehicle_rep_1,4_hydroxytamoxifen_resistant_T47D_cells_treated_with_vehicle_rep_2,4_hydroxytamoxifen_resistant_T47D_cells_treated_with_vehicle_rep_3
H2AC15,7,3,14,3,21,16
H2AC16,2,0,0,0,4,5
H2AC17,0,0,0,7,3,4
H2AC20,2,22,36,7,8,14
H2AC21,3,4,10,2,0,5
H2AC25,30,25,74,13,35,33
H2AC4,0,0,1,5,2,1
H2AC6,211,117,491,355,444,449
H2AC7,0,0,0,1,2,1
H2AC8,11,9,76,1,28,28
H2AC9P,0,0,0,0,0,0
H2ACP1,0,0,0,0,0,0
H2AJ,260,140,1522,101,428,421
H2AL1MP,0,0,0,0,0,0
H2AL3,0,0,0,0,0,0
H2AP,0,0,0,0,0,0
H2AQ1P,0,0,0,0,0,0
H2AX,37,18,187,33,203,190
H2AZ1,846,563,4326,985,4978,4652
H2AZ2,2079,1042,3477,4168,4552,4777
H2AZP5,0,0,0,0,0,1
H2AZP7,0,0,0,0,0,0
H2BC1,0,0,0,0,0,0
H2BC10,3,0,0,0,0,1
H2BC11,0,0,0,0,0,0
H2BC12,55,33,798,145,1222,1245
H2BC12L,0,0,0,0,0,0
H2BC13,3,1,23,1,27,27
H2BC14,1,0,9,0,7,11
H2BC15,92,36,172,170,187,245
H2BC16P,0,0,0,0,0,3
H2BC17,1,1,15,7,16,14
H2BC18,27,13,124,33,59,69
H2BC19P,370,145,445,336,262,256
H2BC20P,337,101,363,388,295,367
H2BC21,173,148,703,203,444,469
H2BC26,53,41,223,33,60,72
H2BC27P,0,0,0,0,0,0
H2BC2P,0,0,0,0,0,0
H2BC3,4,13,4,7,9,4
H2BC4,117,27,325,109,233,323
H2BC5,108,93,382,259,561,585
H2BC6,39,17,74,74,52,87
H2BC7,21,6,128,33,60,73
H2BC8,68,44,279,143,291,376
H2BC9,26,7,49,33,57,42
H2BK1,0,0,0,0,1,1
H2BL1P,0,0,0,0,0,0
H2BP3,0,0,0,0,0,0
H2BP5,0,0,0,0,0,0
H2BP6,0,0,0,0,0,0
H2BP7,0,0,0,0,0,0
H2BP8,0,0,0,0,0,0
H2BP9,0,0,0,0,0,0
H2BW1,0,0,0,1,0,0
H2BW2,0,0,0,0,0,0
H3-3A,1642,973,5269,1425,3447,3366
H3-3B,2239,1336,6455,3255,5020,4659
H3-4,0,0,0,0,0,0
H3-5,0,0,0,0,0,0
H3-7,0,0,0,0,0,1
H3C1,0,0,1,0,2,3
H3C10,16,4,55,174,218,219
H3C11,2,3,6,0,3,1
H3C12,1,0,6,3,13,4
H3C13,0,0,0,1,0,0
H3C14,0,0,0,0,0,0
H3C15,0,0,0,0,0,0
H3C2,1,9,33,4,12,9
H3C3,0,0,40,1,34,36
H3C4,0,0,0,0,0,0
H3C5P,0,0,0,0,0,0
H3C6,120,33,196,408,324,441
H3C7,0,0,7,0,1,3
H3C8,0,0,1,3,3,5
H3C9P,0,0,0,0,0,0
H3P1,0,1,0,0,0,0
H3P11,0,0,0,0,0,0
H3P13,0,0,0,0,0,0
H3P15,0,0,0,0,0,0
H3P18,0,0,0,0,0,0
H3P19,0,0,0,0,0,0
H3P20,0,0,0,0,0,0
H3P21,0,0,0,0,0,0
H3P25,0,0,0,0,0,0
H3P29,0,0,0,0,0,0
H3P3,0,0,0,0,0,0
H3P30,0,0,0,0,0,0
H3P31,0,0,0,0,0,0
