"GeneSymbol","uniprot_id","log2FoldChange","Target_importance","Target","protein","Degree","Betweenness","Eigenvector","MCC","EPC","Score","Degree_Shifted","Betweenness_Shifted","Eigenvector_Shifted","MCC_Shifted","EPC_Shifted","Adjusted_logFC"
"SNAI1","O95863",-3.32729552062903,2.00340461266959,"O95863","9606.ENSP00000244050",18,11795.7387933449,0.234922598620921,7,25076.4775866899,2227.6875825454,2.04800725723754,1.45080494946035,3.04602693236328,2.09978286001703,1.53804433559585,-1.82408758578886
"SNAI2","O43623",7.33674268091008,1.03440838078475,"O43623","9606.ENSP00000020945",10,4651.69891125149,0.124110856361183,6,10788.397822503,880.710933735267,1.08894501853752,0.578187455838866,1.6139491505849,1.68182628801362,0.667360246938793,2.70864222091255
"SNAPC3","Q2VPI6",-1.65615373397276,0.0100323813082264,"Q2VPI6","9606.ENSP00000370200",1,0,3.21416136215237e-05,2,1485,0.829802155738026,0.01,0.01,0.0104153827906613,0.01,0.100431689134722,-1.28691636634739
"SNCB","Q16143",2.25406946549729,0.110808805137207,"Q16143","9606.ENSP00000377296",2,0,0.0096832632675398,3,1485,1.57570945646735,0.129882779837503,0.01,0.135141847766011,0.427956572003405,0.100431689134722,1.50135587569946
"SNCG","O15104",6.84758063015104,0.0143379800492373,"O15104","9606.ENSP00000361087",1,0,0.00499948774695383,2,1485,0.830135315643188,0.01,0.01,0.0746109805394445,0.01,0.100431689134722,2.61678822799076
"SNX22","Q8WUS9",2.1784067694662,0.01,"Q8WUS9","9606.ENSP00000323435",1,0,0,2,1,0.7556,0.01,0.01,0.01,0.01,0.01,1.47594267147007
"SNX24","Q6UY33",-1.33863064619728,0.01,"Q6UY33","9606.ENSP00000261369",1,0,0,2,1,0.7556,0.01,0.01,0.01,0.01,0.01,-1.1569920683381
"SOAT1","P35610",1.46823278550003,0.216074645633802,"P35610","9606.ENSP00000356591",3,785.109534060632,0.00871230906822869,3,3055.21906812126,149.691376068431,0.249765559675005,0.10589816478314,0.122593701625517,0.427956572003405,0.196117378246417,1.21170655915532
"SOD1","P00441",1.18383142281393,2.17568873168345,"P00441","9606.ENSP00000270142",21,11590.9192276579,0.129183854674528,8,24666.8384553158,2191.44696177708,2.40765559675005,1.42578701297004,1.6795101464089,2.51773943202043,1.51308182981024,1.08804017518377
"SOD3","P08294",2.89785048441463,0.104720862254448,"P08294","9606.ENSP00000371554",2,22.7039382805843,0.0070209791397759,2,1530.40787656117,5.8272241911022,0.129882779837503,0.012773200324287,0.10073576524801,0.01,0.103198745049444,1.70230740009395
"SORBS2","O60592",-2.80985681116826,0.195888651079807,"O60592","9606.ENSP00000347852",3,143.155179840583,0.00736295505065729,2,1771.31035968117,29.1733241930695,0.249765559675005,0.0274858646218555,0.105155297816398,0.01,0.117878811400718,-1.67626275123212
"SOX5","P35711",5.98450885394705,0.189338485515504,"P35711","9606.ENSP00000398273",3,78.5817494671461,0.00151379487416851,2,1642.16349893429,17.0512075401949,0.249765559675005,0.0195984639498287,0.0295635585296127,0.01,0.110008886357735,2.44632558216339
"SOX9","P48436",1.18010094876547,0.812690989866364,"P48436","9606.ENSP00000245479",9,2885.63721065061,0.0265984308953842,4,7256.27442130123,548.423741140094,0.96906223870002,0.362469688274046,0.353745357113544,0.84591314400681,0.452120431977233,1.08632451356189
"SP4","O60402",-2.12555204837092,0.0100133759226354,"O60402","9606.ENSP00000222584",1,0,1.02152023819824e-05,2,1485,0.829800685133624,0.01,0.01,0.0101320163736197,0.01,0.100431689134722,-1.45792731244425
"SPARC","P09486",11.5565924332412,0.819664983364775,"P09486","9606.ENSP00000231061",8,5759.38815518646,0.0602964246623261,4,13003.7763103729,1087.1515585728,0.849179458862517,0.713487514028178,0.789242057914701,0.84591314400681,0.802360529102407,3.39949885030738
"SPARCL1","Q14515",1.93686635664599,0.0101829602608985,"Q14515","9606.ENSP00000414856",1,0,0.000205863742252003,2,1485,0.829813807281193,0.01,0.01,0.0126604842171132,0.01,0.100431689134722,1.39171346068291
"SPC25","Q9HBM1",1.17026291367984,0.755541858512667,"Q9HBM1","9606.ENSP00000282074",9,498.60421312673,0.0138705042810623,6,2482.20842625346,100.349633182872,0.96906223870002,0.0709026217586378,0.189255741295104,1.68182628801362,0.161199372696365,1.08178690770403
"SPEG","Q15772",3.80531042572993,0.0100228629996181,"Q15772","9606.ENSP00000311684",1,0,2.11603921223874e-05,2,1485,0.8298014192275,0.01,0.01,0.0102734667535609,0.01,0.100431689134722,1.95072048887839
"SPIN1","Q7KZJ8",-1.52879375759635,0.254563206177416,"Q7KZJ8","9606.ENSP00000365019",3,2967,0.000375124888023919,2,7419,559.265005159627,0.249765559675005,0.372407845743474,0.014847934041791,0.01,0.462036570081785,-1.23644399695107
"SPR","P35270",1.19511000447383,0.321951489513469,"P35270","9606.ENSP00000234454",4,1860.43176727426,0.000771203616022762,3,5205.86353454852,352.285303077351,0.369648339512507,0.237244714840104,0.0199666654563072,0.427956572003405,0.327172911822738,1.0932108691711
"SPRED1","Q05D53",1.66540049361822,0.0287163680212554,"Q05D53","9606.ENSP00000299084",1,0,0.0215877566945583,2,1485,0.831247890841504,0.01,0.01,0.288989808212295,0.01,0.100431689134722,1.29050396885024
"SPRY2","O43597",1.09510759869561,0.35464935828817,"O43597","9606.ENSP00000366306",4,239.254748599049,0.076406972548757,4,1963.5094971981,47.9733160226624,0.369648339512507,0.039224064045729,0.99744704783676,0.84591314400681,0.129591003217357,1.04647388820534
"SPRY4","Q6QIX2",8.94372767357936,0.10007020254699,"Q6QIX2","9606.ENSP00000344967",2,17.1127277925924,0.00180340505507359,2,1519.22545558519,4.7772922156025,0.129882779837503,0.0120902550772187,0.0333063415325082,0.01,0.102517312962198,2.99060657285096
"SQLE","Q14534",1.93982134435893,1.33588702544048,"Q14534","9606.ENSP00000265896",15,2012.98766321895,0.0136006869343727,10,5510.97532643789,389.080656337534,1.68835891772503,0.255878841434233,0.18576875138363,3.35365257602724,0.345765751927507,1.39277469260427
"SQOR","Q9UQM8",-1.0361765042618,0.0102910772591576,"Q9UQM8","9606.ENSP00000456019",1,0,0.000330597742226126,2,1485,0.829822173190571,0.01,0.01,0.014272486576724,0.01,0.100431689134722,-1.01792755354288
"SRCIN1","Q75T46",2.17142806590572,0.01,"Q75T46","9606.ENSP00000484715",1,0,0,2,1,0.7556,0.01,0.01,0.01,0.01,0.01,1.47357662369682
"SREBF1","P36956",2.16622056224077,3.29854687892751,"P36956","9606.ENSP00000348069",29,30075.4666593202,0.117590388139934,9,61635.9333186404,5667.25547807493,3.36671783545007,3.68360467871045,1.52968174826796,2.93569600402384,3.76589698767561,1.47180860244828
"SRGAP1","Q7Z6B7",1.39416978881142,0.283809921070562,"Q7Z6B7","9606.ENSP00000347198",4,2.43797178970646,0.000942830520260822,4,1489.87594357941,3.51300930000669,0.369648339512507,0.0102977890476208,0.022184689208146,0.84591314400681,0.100728818389447,1.18074967237405
"SRGAP3","O43295",2.1433666835713,0.686374181188922,"O43295","9606.ENSP00000373347",8,2178.56693012795,0.00121914388667166,4,5842.1338602559,414.955835891599,0.849179458862517,0.276103723611609,0.0257556305612549,0.84591314400681,0.365945823076119,1.46402414036494
"SRGN","P10124",1.01888057776137,0.0317263631984413,"P10124","9606.ENSP00000242465",1,0,0.0250603719576408,2,1485,0.831480799147199,0.01,0.01,0.333868221469876,0.01,0.100431689134722,1.00939614510923
"SRPK1","Q12890",1.35016541445647,0.01,"Q12890","9606.ENSP00000362931",1,0,0,2,1,0.7556,0.01,0.01,0.01,0.01,0.01,1.16196618473021
"SRPRB","Q549N5",-1.00444584265728,0.384421692815208,"Q549N5","9606.ENSP00000418401",5,318.503415040928,0.002045221017466,5,2122.00683008186,63.5901482444568,0.48953111935001,0.0489039893855485,0.0364314549903385,1.26386971601022,0.139249481341365,-1.00222045611596
"SRSF8","Q6PF01",-1.58718834911432,0.01,"Q6PF01","9606.ENSP00000480140",1,0,0,2,1,0.7556,0.01,0.01,0.01,0.01,0.01,-1.25983663588353
"SSH2","Q76I76",1.46444106702406,0.01,"Q76I76","9606.ENSP00000444743",1,0,0,2,1,0.7556,0.01,0.01,0.01,0.01,0.01,1.21014092857983
"SSPN","Q14714",4.04806800372352,0.192540735796849,"Q14714","9606.ENSP00000242729",3,9.22675373296082,0.00208062049597965,3,1503.45350746592,4.04221575796807,0.249765559675005,0.0111270131255706,0.0368889408635152,0.427956572003405,0.101556205206557,2.01198111415677
"SSTR2","P30874",4.14411540002575,0.0165771855317263,"P30874","9606.ENSP00000350198",1,0,0.0075828470807516,2,1485,0.830308581553706,0.01,0.01,0.107997076893836,0.01,0.100431689134722,2.03571004812221
"SSX2","Q16385",-8.46567840332301,0.480068270091483,"Q16385","9606.ENSP00000338796",5,4925.88279932145,0.000467417412690095,3,11336.7655986429,928.466720438308,0.48953111935001,0.611677982368358,0.0160406783421998,0.427956572003405,0.70077657056641,-2.90958388834607
"SSX2B","Q16385",-8.80049230471264,0.0100219598586991,"Q16385","9606.ENSP00000477922",1,0,2.01184432967497e-05,2,1485,0.829801349343992,0.01,0.01,0.0102600011069379,0.01,0.100431689134722,-2.96656237162016
"ST3GAL4","O60497",1.01001208718259,0.582203996933187,"O60497","9606.ENSP00000436047",4,13242.5,9.1214465576982e-06,3,27970,2488.92710061178,0.369648339512507,1.62752136746139,0.0101178811982068,0.427956572003405,1.7143692138875,1.0049935756922
"ST3GAL5","O94902",6.21082541909775,0.190571634568462,"O94902","9606.ENSP00000491316",3,2,1.4675932237273e-10,3,1489,2.68547000000984,0.249765559675005,0.0102442924474173,0.0100000018966471,0.427956572003405,0.100675440318374,2.49215276800957
"ST8SIA1","Q17RL0",1.2867892067641,0.292442194363529,"Q17RL0","9606.ENSP00000379353",3,4446,1.41194892847991e-10,3,10377,836.91315000001,0.249765559675005,0.553062110608522,0.0100000018247351,0.427956572003405,0.6422905703921,1.13436731562757
"STAC3","Q96HU5",1.86587957160526,0.474114015964957,"Q96HU5","9606.ENSP00000329200",6,0,0.00237014477896537,7,1485,4.55625896561032,0.609413899187512,0.01,0.0406306137629208,2.09978286001703,0.100431689134722,1.36597202445923
